Time;ID;Type;Value
00:01.255;ID:1;RSSI;-100
00:01.256;ID:1;RSSI short;-100
00:01.257;ID:1;RSSI long;-100
00:01.349;ID:1;RSSI;-100
00:01.350;ID:1;RSSI short;-100
00:01.351;ID:1;RSSI long;-100
00:01.442;ID:1;RSSI;-100
00:01.444;ID:1;RSSI short;-100
00:01.445;ID:1;RSSI long;-100
00:01.536;ID:1;RSSI;-100
00:01.537;ID:1;RSSI short;-100
00:01.539;ID:1;RSSI long;-100
00:01.630;ID:1;RSSI;-100
00:01.631;ID:1;RSSI short;-100
00:01.632;ID:1;RSSI long;-100
00:01.724;ID:1;RSSI;-100
00:01.725;ID:1;RSSI short;-100
00:01.726;ID:1;RSSI long;-100
00:01.817;ID:1;RSSI;-100
00:01.819;ID:1;RSSI short;-100
00:01.820;ID:1;RSSI long;-100
00:01.911;ID:1;RSSI;-100
00:01.912;ID:1;RSSI short;-100
00:01.914;ID:1;RSSI long;-100
00:02.005;ID:1;RSSI;-100
00:02.006;ID:1;RSSI short;-100
00:02.007;ID:1;RSSI long;-100
00:02.099;ID:1;RSSI;-100
00:02.100;ID:1;RSSI short;-100
00:02.101;ID:1;RSSI long;-100
00:02.192;ID:1;RSSI;-100
00:02.194;ID:1;RSSI short;-100
00:02.195;ID:1;RSSI long;-100
00:02.286;ID:1;RSSI;-100
00:02.287;ID:1;RSSI short;-100
00:02.289;ID:1;RSSI long;-100
00:02.380;ID:1;RSSI;-100
00:02.381;ID:1;RSSI short;-100
00:02.382;ID:1;RSSI long;-100
00:02.474;ID:1;RSSI;-100
00:02.475;ID:1;RSSI short;-100
00:02.476;ID:1;RSSI long;-100
00:02.567;ID:1;RSSI;-100
00:02.569;ID:1;RSSI short;-100
00:02.570;ID:1;RSSI long;-100
00:02.661;ID:1;RSSI;-100
00:02.662;ID:1;RSSI short;-100
00:02.664;ID:1;RSSI long;-100
00:02.692;ID:1;Send;0
00:02.692;ID:1;Recieved;1
00:02.755;ID:1;RSSI;-100
00:02.756;ID:1;RSSI short;-100
00:02.757;ID:1;RSSI long;-101
00:02.849;ID:1;RSSI;-100
00:02.850;ID:1;RSSI short;-100
00:02.851;ID:1;RSSI long;-100
00:02.942;ID:1;RSSI;-100
00:02.944;ID:1;RSSI short;-100
00:02.945;ID:1;RSSI long;-100
00:03.036;ID:1;RSSI;-100
00:03.037;ID:1;RSSI short;-100
00:03.039;ID:1;RSSI long;-100
00:03.130;ID:1;RSSI;-100
00:03.131;ID:1;RSSI short;-100
00:03.132;ID:1;RSSI long;-100
00:03.224;ID:1;RSSI;-100
00:03.225;ID:1;RSSI short;-100
00:03.226;ID:1;RSSI long;-100
00:03.317;ID:1;RSSI;-100
00:03.319;ID:1;RSSI short;-100
00:03.320;ID:1;RSSI long;-100
00:03.411;ID:1;RSSI;-100
00:03.412;ID:1;RSSI short;-100
00:03.414;ID:1;RSSI long;-100
00:03.505;ID:1;RSSI;-100
00:03.506;ID:1;RSSI short;-100
00:03.507;ID:1;RSSI long;-100
00:03.599;ID:1;RSSI;-100
00:03.600;ID:1;RSSI short;-100
00:03.601;ID:1;RSSI long;-100
00:03.692;ID:1;RSSI;-100
00:03.694;ID:1;RSSI short;-100
00:03.695;ID:1;RSSI long;-100
00:03.786;ID:1;RSSI;-100
00:03.787;ID:1;RSSI short;-100
00:03.789;ID:1;RSSI long;-100
00:03.880;ID:1;RSSI;-100
00:03.881;ID:1;RSSI short;-100
00:03.882;ID:1;RSSI long;-100
00:03.974;ID:1;RSSI;-100
00:03.975;ID:1;RSSI short;-100
00:03.976;ID:1;RSSI long;-100
00:04.067;ID:1;RSSI;-100
00:04.069;ID:1;RSSI short;-100
00:04.070;ID:1;RSSI long;-100
00:04.161;ID:1;RSSI;-100
00:04.162;ID:1;RSSI short;-100
00:04.164;ID:1;RSSI long;-100
00:04.255;ID:1;RSSI;-100
00:04.256;ID:1;RSSI short;-100
00:04.257;ID:1;RSSI long;-100
00:04.349;ID:1;RSSI;-100
00:04.350;ID:1;RSSI short;-100
00:04.351;ID:1;RSSI long;-100
00:04.442;ID:1;RSSI;-100
00:04.444;ID:1;RSSI short;-100
