RSSI;-94
RSSI short;-93
RSSI long;-93
RSSI;-96
RSSI short;-92
RSSI long;-93
RSSI;-95
RSSI short;-92
RSSI long;-93
RSSI;-100
RSSI short;-92
RSSI long;-93
RSSI;-81
RSSI short;-91
RSSI long;-93
RSSI;-94
RSSI short;-91
RSSI long;-93
RSSI;-95
RSSI short;-92
RSSI long;-93
RSSI;-94
RSSI short;-93
RSSI long;-93
RSSI;-94
RSSI short;-93
RSSI long;-93
RSSI;-81
RSSI short;-92
RSSI long;-93
Send;0
Recieved;0
RSSI;-94
RSSI short;-92
RSSI long;-93
RSSI;-88
RSSI short;-93
RSSI long;-93
RSSI;-94
RSSI short;-92
RSSI long;-93
RSSI;-94
RSSI short;-92
RSSI long;-93
RSSI;-83
RSSI short;-91
RSSI long;-92
RSSI;-94
RSSI short;-91
RSSI long;-92
RSSI;-92
RSSI short;-90
RSSI long;-92
RSSI;-96
RSSI short;-90
RSSI long;-92
RSSI;-82
RSSI short;-89
RSSI long;-92
RSSI;-94
RSSI short;-89
RSSI long;-92
RSSI;-94
RSSI short;-90
RSSI long;-92
Send;1
Recieved;2
RSSI;-95
RSSI short;-90
RSSI long;-92
RSSI;-94
RSSI short;-90
RSSI long;-91
RSSI;-93
RSSI short;-90
RSSI long;-91
RSSI;-95
RSSI short;-91
RSSI long;-91
RSSI;-92
RSSI short;-91
RSSI long;-91
RSSI;-93
RSSI short;-92
RSSI long;-91
RSSI;-93
RSSI short;-92
RSSI long;-91
RSSI;-94
RSSI short;-92
RSSI long;-91
RSSI;-94
RSSI short;-92
RSSI long;-91
RSSI;-93
RSSI short;-92
RSSI long;-91
RSSI;-94
RSSI short;-92
RSSI long;-92
Send;2
Recieved;4
RSSI;-94
RSSI short;-93
RSSI long;-92
RSSI;-65
RSSI short;-91
RSSI long;-91
RSSI;-94
RSSI short;-91
RSSI long;-91
RSSI;-83
RSSI short;-91
RSSI long;-91
RSSI;-93
RSSI short;-91
RSSI long;-91
RSSI;-94
RSSI short;-91
RSSI long;-91
RSSI;-94
RSSI short;-91
RSSI long;-91
RSSI;-94
RSSI short;-91
RSSI long;-91
RSSI;-93
RSSI short;-91
