Time;ID;Type;Value
00:01.296;ID:2;RSSI;-100
00:01.298;ID:2;RSSI short;-100
00:01.299;ID:2;RSSI long;-100
00:01.390;ID:2;RSSI;-100
00:01.391;ID:2;RSSI short;-100
00:01.393;ID:2;RSSI long;-100
00:01.484;ID:2;RSSI;-100
00:01.485;ID:2;RSSI short;-100
00:01.486;ID:2;RSSI long;-100
00:01.577;ID:2;RSSI;-100
00:01.579;ID:2;RSSI short;-100
00:01.580;ID:2;RSSI long;-100
00:01.671;ID:2;RSSI;-100
00:01.673;ID:2;RSSI short;-100
00:01.674;ID:2;RSSI long;-100
00:01.765;ID:2;RSSI;-100
00:01.766;ID:2;RSSI short;-100
00:01.768;ID:2;RSSI long;-100
00:01.859;ID:2;RSSI;-100
00:01.860;ID:2;RSSI short;-100
00:01.861;ID:2;RSSI long;-100
00:01.952;ID:2;RSSI;-100
00:01.954;ID:2;RSSI short;-100
00:01.955;ID:2;RSSI long;-100
00:02.046;ID:2;RSSI;-100
00:02.048;ID:2;RSSI short;-100
00:02.049;ID:2;RSSI long;-100
00:02.140;ID:2;RSSI;-100
00:02.141;ID:2;RSSI short;-100
00:02.143;ID:2;RSSI long;-100
00:02.234;ID:2;RSSI;-100
00:02.235;ID:2;RSSI short;-100
00:02.236;ID:2;RSSI long;-100
00:02.327;ID:2;RSSI;-100
00:02.329;ID:2;RSSI short;-100
00:02.330;ID:2;RSSI long;-100
00:02.421;ID:2;RSSI;-100
00:02.423;ID:2;RSSI short;-100
00:02.424;ID:2;RSSI long;-100
00:02.515;ID:2;RSSI;-100
00:02.516;ID:2;RSSI short;-100
00:02.518;ID:2;RSSI long;-100
00:02.545;ID:2;Send;0
00:02.546;ID:2;Recieved;0
00:02.609;ID:2;RSSI;-100
00:02.610;ID:2;RSSI short;-100
00:02.611;ID:2;RSSI long;-101
00:02.702;ID:2;RSSI;-94
00:02.704;ID:2;RSSI short;-99
00:02.705;ID:2;RSSI long;-99
00:02.796;ID:2;RSSI;-100
00:02.797;ID:2;RSSI short;-99
00:02.798;ID:2;RSSI long;-99
00:02.890;ID:2;RSSI;-100
00:02.891;ID:2;RSSI short;-99
00:02.892;ID:2;RSSI long;-99
00:02.984;ID:2;RSSI;-100
00:02.985;ID:2;RSSI short;-99
00:02.986;ID:2;RSSI long;-99
00:03.077;ID:2;RSSI;-100
00:03.079;ID:2;RSSI short;-99
00:03.080;ID:2;RSSI long;-99
00:03.171;ID:2;RSSI;-100
00:03.172;ID:2;RSSI short;-99
00:03.173;ID:2;RSSI long;-99
00:03.265;ID:2;RSSI;-100
00:03.266;ID:2;RSSI short;-99
00:03.267;ID:2;RSSI long;-99
00:03.359;ID:2;RSSI;-100
00:03.360;ID:2;RSSI short;-99
00:03.361;ID:2;RSSI long;-99
00:03.452;ID:2;RSSI;-100
00:03.454;ID:2;RSSI short;-99
00:03.455;ID:2;RSSI long;-99
00:03.546;ID:2;RSSI;-100
00:03.547;ID:2;RSSI short;-99
00:03.548;ID:2;RSSI long;-99
00:03.640;ID:2;RSSI;-100
00:03.641;ID:2;RSSI short;-99
00:03.642;ID:2;RSSI long;-99
00:03.734;ID:2;RSSI;-100
00:03.735;ID:2;RSSI short;-99
00:03.736;ID:2;RSSI long;-99
00:03.827;ID:2;RSSI;-100
00:03.829;ID:2;RSSI short;-99
00:03.830;ID:2;RSSI long;-99
00:03.921;ID:2;RSSI;-100
00:03.922;ID:2;RSSI short;-99
00:03.923;ID:2;RSSI long;-99
00:04.015;ID:2;RSSI;-100
00:04.016;ID:2;RSSI short;-99
00:04.017;ID:2;RSSI long;-99
00:04.109;ID:2;RSSI;-100
00:04.110;ID:2;RSSI short;-99
00:04.111;ID:2;RSSI long;-99
00:04.202;ID:2;RSSI;-100
00:04.204;ID:2;RSSI short;-99
00:04.205;ID:2;RSSI long;-99
00:04.296;ID:2;RSSI;-100
00:04.297;ID:2;RSSI short;-99
00:04.298;ID:2;RSSI long;-99
00:04.390;ID:2;RSSI;-100
00:04.391;ID:2;RSSI short;-99
00:04.392;ID:2;RSSI long;-99
00:04.484;ID:2;RSSI;-100
00:04.485;ID:2;RSSI short;-99
00:04.486;ID:2;RSSI long;-99
00:04.545;ID:2;Send;1
00:04.546;ID:2;Recieved;2
00:04.578;ID:2;RSSI;-100
00:04.579;ID:2;RSSI short;-99
00:04.580;ID:2;RSSI long;-101
00:04.671;ID:2;RSSI;-100
00:04.673;ID:2;RSSI short;-100
00:04.674;ID:2;RSSI long;-99
00:04.765;ID:2;RSSI;-100
00:04.766;ID:2;RSSI short;-100
00:04.767;ID:2;RSSI long;-99
00:04.859;ID:2;RSSI;-100
00:04.860;ID:2;RSSI short;-100
00:04.861;ID:2;RSSI long;-99
00:04.952;ID:2;RSSI;-100
00:04.954;ID:2;RSSI short;-100
00:04.955;ID:2;RSSI long;-99
00:05.046;ID:2;RSSI;-100
00:05.048;ID:2;RSSI short;-100
00:05.049;ID:2;RSSI long;-99
00:05.140;ID:2;RSSI;-100
00:05.141;ID:2;RSSI short;-100
00:05.142;ID:2;RSSI long;-99
00:05.234;ID:2;RSSI;-100
00:05.235;ID:2;RSSI short;-100
00:05.236;ID:2;RSSI long;-99
00:05.327;ID:2;RSSI;-100
00:05.329;ID:2;RSSI short;-100
00:05.330;ID:2;RSSI long;-99
00:05.421;ID:2;RSSI;-100
00:05.423;ID:2;RSSI short;-100
00:05.424;ID:2;RSSI long;-99
00:05.515;ID:2;RSSI;-100
