Time;ID;Type;Value
00:06.655;ID:5;channel activity result: 10000 ;
00:06.657;ID:5;No activity found on channel 11. ;
00:12.283;ID:5;channel activity result: 10000 ;
00:12.285;ID:5;No activity found on channel 12. ;
00:17.910;ID:5;channel activity result: 10000 ;
00:17.912;ID:5;No activity found on channel 13. ;
00:23.537;ID:5;channel activity result: 10000 ;
00:23.540;ID:5;No activity found on channel 14. ;
00:29.165;ID:5;channel activity result: 10000 ;
00:29.168;ID:5;No activity found on channel 15. ;
00:34.793;ID:5;channel activity result: 10000 ;
00:34.795;ID:5;No activity found on channel 16. ;
00:40.421;ID:5;channel activity result: 10000 ;
00:40.423;ID:5;No activity found on channel 17. ;
00:46.048;ID:5;channel activity result: 10000 ;
00:46.051;ID:5;No activity found on channel 18. ;
00:51.676;ID:5;channel activity result: 10000 ;
00:51.678;ID:5;No activity found on channel 19. ;
00:57.303;ID:5;channel activity result: 10000 ;
00:57.306;ID:5;No activity found on channel 20. ;
01:02.931;ID:5;channel activity result: 10000 ;
01:02.933;ID:5;No activity found on channel 21. ;
01:08.558;ID:5;channel activity result: 10000 ;
01:08.561;ID:5;No activity found on channel 22. ;
01:14.186;ID:5;channel activity result: 10000 ;
01:14.188;ID:5;No activity found on channel 23. ;
01:19.814;ID:5;channel activity result: 10000 ;
01:19.816;ID:5;No activity found on channel 24. ;
01:25.441;ID:5;channel activity result: 10000 ;
01:25.444;ID:5;No activity found on channel 25. ;
01:31.069;ID:5;channel activity result: 10000 ;
01:31.071;ID:5;No activity found on channel 26. ;
01:36.696;ID:5;channel activity result: 9988 ;
01:36.698;ID:5;Activity found on channel 11! ;
01:37.906;ID:5;[INFO: Energest  ] --- Period summary #0 (96 seconds);
01:37.918;ID:5;[INFO: Energest  ] Total time  :    3174334;
01:37.944;ID:5;[INFO: Energest  ] CPU         :    3174334/   3174334 (1000 permil);
01:37.959;ID:5;[INFO: Energest  ] LPM         :          0/   3174334 (0 permil);
01:37.975;ID:5;[INFO: Energest  ] Deep LPM    :          0/   3174334 (0 permil);
01:37.995;ID:5;[INFO: Energest  ] Radio Tx    :      29227/   3174334 (9 permil);
01:38.019;ID:5;[INFO: Energest  ] Radio Rx    :    2295156/   3174334 (723 permil);
01:38.044;ID:5;[INFO: Energest  ] Radio total :    2324383/   3174334 (732 permil);
02:03.640;ID:5;channel activity result: 9941 ;
02:03.643;ID:5;Activity found on channel 11! ;
02:04.243;ID:5;[INFO: Energest  ] --- Period summary #1 (26 seconds);
02:04.253;ID:5;[INFO: Energest  ] Total time  :     862992;
02:04.275;ID:5;[INFO: Energest  ] CPU         :     593079/    862992 (687 permil);
02:04.298;ID:5;[INFO: Energest  ] LPM         :     269913/    862992 (312 permil);
02:04.312;ID:5;[INFO: Energest  ] Deep LPM    :          0/    862992 (0 permil);
02:04.335;ID:5;[INFO: Energest  ] Radio Tx    :     217543/    862992 (252 permil);
02:04.357;ID:5;[INFO: Energest  ] Radio Rx    :     263732/    862992 (305 permil);
02:04.380;ID:5;[INFO: Energest  ] Radio total :     481275/    862992 (557 permil);
02:40.016;ID:5;channel activity result: 10000 ;
02:40.018;ID:5;No activity found on channel 11. ;
02:45.643;ID:5;channel activity result: 10000 ;
02:45.645;ID:5;No activity found on channel 12. ;
02:51.270;ID:5;channel activity result: 10000 ;
02:51.273;ID:5;No activity found on channel 13. ;
02:56.897;ID:5;channel activity result: 10000 ;
02:56.900;ID:5;No activity found on channel 14. ;
03:02.525;ID:5;channel activity result: 10000 ;
03:02.527;ID:5;No activity found on channel 15. ;
03:08.153;ID:5;channel activity result: 10000 ;
03:08.155;ID:5;No activity found on channel 16. ;
03:13.780;ID:5;channel activity result: 10000 ;
03:13.783;ID:5;No activity found on channel 17. ;
03:19.408;ID:5;channel activity result: 10000 ;
03:19.410;ID:5;No activity found on channel 18. ;
03:25.035;ID:5;channel activity result: 9986 ;
03:25.037;ID:5;Activity found on channel 19! ;
03:26.770;ID:5;[INFO: Energest  ] --- Period summary #2 (82 seconds);
03:26.782;ID:5;[INFO: Energest  ] Total time  :    2704267;
03:26.806;ID:5;[INFO: Energest  ] CPU         :    2185229/   2704267 (808 permil);
03:26.830;ID:5;[INFO: Energest  ] LPM         :     519038/   2704267 (191 permil);
03:26.845;ID:5;[INFO: Energest  ] Deep LPM    :          0/   2704267 (0 permil);
03:26.869;ID:5;[INFO: Energest  ] Radio Tx    :     355227/   2704267 (131 permil);
03:26.894;ID:5;[INFO: Energest  ] Radio Rx    :    1314622/   2704267 (486 permil);
03:26.919;ID:5;[INFO: Energest  ] Radio total :    1669849/   2704267 (617 permil);
03:52.530;ID:5;channel activity result: 10000 ;
03:52.533;ID:5;No activity found on channel 19. ;
03:58.158;ID:5;channel activity result: 10000 ;
03:58.160;ID:5;No activity found on channel 20. ;
04:03.785;ID:5;channel activity result: 10000 ;
04:03.788;ID:5;No activity found on channel 21. ;
04:09.413;ID:5;channel activity result: 10000 ;
04:09.415;ID:5;No activity found on channel 22. ;
04:15.040;ID:5;channel activity result: 10000 ;
04:15.043;ID:5;No activity found on channel 23. ;
04:20.667;ID:5;channel activity result: 10000 ;
04:20.670;ID:5;No activity found on channel 24. ;
04:26.295;ID:5;channel activity result: 10000 ;
04:26.297;ID:5;No activity found on channel 25. ;
04:31.922;ID:5;channel activity result: 10000 ;
04:31.925;ID:5;No activity found on channel 26. ;
04:37.550;ID:5;channel activity result: 9984 ;
04:37.552;ID:5;Activity found on channel 11! ;
04:37.649;ID:5;[INFO: Energest  ] --- Period summary #3 (70 seconds);
04:37.660;ID:5;[INFO: Energest  ] Total time  :    2322542;
04:37.685;ID:5;[INFO: Energest  ] CPU         :    2047602/   2322542 (881 permil);
04:37.708;ID:5;[INFO: Energest  ] LPM         :     274940/   2322542 (118 permil);
04:37.724;ID:5;[INFO: Energest  ] Deep LPM    :          0/   2322542 (0 permil);
04:37.746;ID:5;[INFO: Energest  ] Radio Tx    :     231770/   2322542 (99 permil);
04:37.771;ID:5;[INFO: Energest  ] Radio Rx    :    1278348/   2322542 (550 permil);
04:37.796;ID:5;[INFO: Energest  ] Radio total :    1510118/   2322542 (650 permil);
05:07.801;ID:5;channel activity result: 10000 ;
05:07.804;ID:5;No activity found on channel 11. ;
05:13.429;ID:5;channel activity result: 10000 ;
05:13.431;ID:5;No activity found on channel 12. ;
05:19.057;ID:5;channel activity result: 10000 ;
05:19.059;ID:5;No activity found on channel 13. ;
05:24.685;ID:5;channel activity result: 10000 ;
05:24.687;ID:5;No activity found on channel 14. ;
05:30.312;ID:5;channel activity result: 10000 ;
05:30.314;ID:5;No activity found on channel 15. ;
05:35.939;ID:5;channel activity result: 10000 ;
05:35.941;ID:5;No activity found on channel 16. ;
05:41.195;ID:5;channel activity result: 9985 ;
05:41.197;ID:5;Activity found on channel 17! ;
05:41.714;ID:5;[INFO: Energest  ] --- Period summary #4 (64 seconds);
05:41.725;ID:5;[INFO: Energest  ] Total time  :    2099291;
05:41.750;ID:5;[INFO: Energest  ] CPU         :    1777583/   2099291 (846 permil);
05:41.773;ID:5;[INFO: Energest  ] LPM         :     321708/   2099291 (153 permil);
05:41.789;ID:5;[INFO: Energest  ] Deep LPM    :          0/   2099291 (0 permil);
05:41.813;ID:5;[INFO: Energest  ] Radio Tx    :     312349/   2099291 (148 permil);
05:41.837;ID:5;[INFO: Energest  ] Radio Rx    :    1033163/   2099291 (492 permil);
05:41.862;ID:5;[INFO: Energest  ] Radio total :    1345512/   2099291 (640 permil);
06:01.705;ID:5;[INFO: Energest  ] --- Period summary #5 (19 seconds);
06:01.715;ID:5;[INFO: Energest  ] Total time  :     655069;
06:01.738;ID:5;[INFO: Energest  ] CPU         :     363817/    655069 (555 permil);
06:01.760;ID:5;[INFO: Energest  ] LPM         :     291252/    655069 (444 permil);
06:01.775;ID:5;[INFO: Energest  ] Deep LPM    :          0/    655069 (0 permil);
06:01.797;ID:5;[INFO: Energest  ] Radio Tx    :     222335/    655069 (339 permil);
06:01.817;ID:5;[INFO: Energest  ] Radio Rx    :      65211/    655069 (99 permil);
06:01.840;ID:5;[INFO: Energest  ] Radio total :     287546/    655069 (438 permil);
06:10.666;ID:5;channel activity result: 10000 ;
06:10.669;ID:5;No activity found on channel 17. ;
06:16.294;ID:5;channel activity result: 10000 ;
06:16.296;ID:5;No activity found on channel 18. ;
